,ResponseId,DevType,Country,Amazon Web Services,Heroku,Netlify,Google Cloud,Fly.io,Cloudflare,Firebase,Vercel,Digital Ocean,Hetzner,VMware,Microsoft Azure,Databricks,Oracle Cloud,PythonAnywhere,Render,Supabase,Managed Hosting,OpenShift,OVH,IBM Cloud,Alibaba Cloud,Vultr,Colocation,Linode/Akamai,Scaleway,OpenStack
1,2,Full-Stack Developer,United Kingdom,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Software Engineer,United Kingdom,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
3,4,Full-Stack Developer,Canada,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,6,Academic Researcher,United States,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,8,Academic Researcher,Uzbekistan,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,10,Full-Stack Developer,Serbia,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10,11,Project Manager,United States,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,12,Software Engineer,Poland,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,13,Back-End Developer,United States,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
17,18,Front-End Developer,India,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
18,19,Full-Stack Developer,Germany,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
19,20,Databases Administrator,United Kingdom,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
22,23,Back-End Developer,Ireland,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,Software Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,Full-Stack Developer,Italy,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,26,Full-Stack Developer,United States,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
26,27,Full-Stack Developer,Italy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,Cloud Engineer,Ukraine,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,Full-Stack Developer,United Kingdom,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
29,30,Full-Stack Developer,Philippines,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
30,31,Back-End Developer,Australia,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,Others,United States,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
32,33,Back-End Developer,Brazil,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,Academic Researcher,United States,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
35,36,Full-Stack Developer,United States,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
36,37,Academic Researcher,Austria,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
37,38,Data Science/ML,Iran,1.0,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,
38,39,Full-Stack Developer,France,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,Full-Stack Developer,Saudi Arabia,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
40,41,Full-Stack Developer,Brazil,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
41,42,Professional Researcher,Italy,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
42,43,Full-Stack Developer,Ireland,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
43,44,Academic Researcher,Austria,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
44,45,Full-Stack Developer,Romania,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
45,46,Others,United Kingdom,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
48,49,Software Engineer,Germany,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
49,50,Back-End Developer,Germany,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,Academic Researcher,United Kingdom,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
51,52,Full-Stack Developer,United States,,,,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,
52,53,Full-Stack Developer,Germany,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
54,55,Back-End Developer,United Kingdom,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
56,57,Full-Stack Developer,Italy,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
59,60,Back-End Developer,Ireland,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
60,61,Others,Nepal,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
61,62,Back-End Developer,Switzerland,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
63,64,DevOps Engineer,Bulgaria,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
64,65,Project Manager,Sweden,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
65,66,Academic Researcher,Iran,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
67,68,Full-Stack Developer,United Kingdom,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
68,69,Full-Stack Developer,Netherlands,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
69,70,Full-Stack Developer,Croatia,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
71,72,Full-Stack Developer,Sweden,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
72,73,Data Science/ML,Pakistan,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
73,74,Software Engineer,Czech Republic,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
74,75,Full-Stack Developer,Switzerland,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
75,76,UI/UX Designer,India,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
76,77,Databases Administrator,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,Full-Stack Developer,North Macedonia,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
78,79,Full-Stack Developer,United States,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
79,80,Project Manager,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
81,82,Full-Stack Developer,Finland,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,Full-Stack Developer,United Kingdom,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
89,90,Cyber Security,India,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
92,93,Project Manager,United States,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
97,98,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
98,99,Back-End Developer,Italy,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
99,100,Game Developer,Israel,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
100,101,Back-End Developer,United Kingdom,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
102,103,Back-End Developer,Italy,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
104,105,Back-End Developer,Germany,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
109,110,Academic Researcher,Australia,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
110,111,Mobile App Developer,Greece,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
111,112,Academic Researcher,United Kingdom,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
112,113,Front-End Developer,Ireland,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
113,114,Academic Researcher,United States,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
114,115,Front-End Developer,Turkey,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
116,117,Professional Researcher,Germany,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118,Data Science/ML,Austria,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,
118,119,Back-End Developer,Sweden,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
119,120,Full-Stack Developer,Mexico,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
120,121,Data Analyst,Tanzania,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
121,122,Others,Ireland,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
123,124,Back-End Developer,Germany,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
124,125,Project Manager,Japan,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,
126,127,Back-End Developer,India,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
127,128,Full-Stack Developer,United States,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
128,129,Full-Stack Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
129,130,Full-Stack Developer,Sweden,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
131,132,Project Manager,Germany,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
